agnomuaeix,Normal,8,6,7729.098032080196,Intelligence
rluvvwwakb,Desperate,8,4,5398.810089588712,Richness
garhckhfyv,Desperate,10,4,4934.725215180735,Attractiveness
qlrpewsocb,Desperate,8,7,5303.608081222052,Richness
rcjngjnimn,Normal,3,4,2686.0585420364982,Attractiveness
sbtasdrfzx,Desperate,2,9,6620.137284154214,Intelligence
ensycxtlhs,Normal,7,2,5109.888060372023,Attractiveness
pmipinvrsg,Normal,7,3,5602.674086624293,Richness
vsstbomcnu,Desperate,4,2,2709.4033169370223,Attractiveness
ftibcfeqwb,Normal,5,3,5032.270495877345,Richness
