bywdvjnebu,Geek,3,3,5,225.31165241262332
bimrgtcpxg,Geek,9,1,7,691.7586027173712
jryivtelec,Geek,1,1,7,7489.019423318374
xicgghkcxr,Geek,9,2,5,1775.2156156189053
lkuerrabmr,Geek,3,2,1,5054.596332831075
nrcieitupb,Generous,6,1,8,1888.1018853700707
slqwbeedkw,Miser,1,2,3,7748.292490578365
vqgjujtlnn,Miser,8,1,6,1053.7573474496148
ndztgxcbku,Generous,9,2,8,4198.937976021022
bxfoxevcwd,Miser,5,1,8,8171.641686205208
vvreirsjko,Geek,3,3,10,7717.860999619181
rhmyhunnqo,Geek,10,2,2,3771.3419889960896
fgkpdlttrv,Geek,4,2,8,5093.974318773632
kagauiikgy,Geek,6,3,7,6156.997364164085
ojuktvnznv,Miser,9,1,3,6597.706328579412
bhzgejyvgf,Generous,8,2,10,208.69930000695115
cdtkusnpeh,Geek,6,2,7,4600.0534271808465
ytinjooqlc,Generous,7,1,8,7601.764453687796
vwjphelgqo,Miser,5,3,7,1577.979583084779
xcadtvzern,Miser,5,3,1,7259.903116815333
oywdbfqwsj,Generous,3,2,5,2352.2438160398806
iwrbzhpzqm,Generous,9,2,6,4580.893832919115
sagwxwxfsv,Geek,4,3,6,8774.163235234539
yuhzkyurtm,Geek,10,2,10,3671.4572555913396
yqdcjdqcwc,Generous,4,2,1,2471.061772655626
fuzyldrjmn,Geek,1,1,10,8384.58049979223
kibnkjmtda,Generous,8,1,9,4711.305732224757
yfwltkzdbf,Geek,1,1,3,2056.526565391847
wayhblqjiu,Geek,10,1,2,5542.463253402418
qibhalbcpf,Generous,3,2,7,5688.163760939837
dygnsxogwr,Generous,1,3,9,6162.794986371325
ehwczvkixm,Geek,4,1,8,4373.798006116976
dfvhqactdc,Miser,3,2,8,8825.487822594614
zdzsqcnlml,Miser,1,3,5,7150.734421318884
qcoenjozgy,Miser,6,1,1,7377.221145525318
mjcglvnmhm,Geek,5,2,9,7168.407558152994
qrisdminbc,Generous,2,1,5,2211.8262881376036
rppzlgopmp,Miser,8,2,6,2027.9159544981208
tcmdsfgnfw,Miser,7,3,8,9045.695212126533
uqlcwjrqre,Geek,1,2,5,5156.305604367751
wtuiayeddv,Geek,8,1,6,518.9886036013363
fhqfkjfruz,Miser,8,3,7,7703.391425613017
yoyifeekeh,Geek,2,2,8,2977.1589592494743
ztrlqoxpgf,Generous,7,2,7,6239.370406332411
jmamlpqkqo,Miser,9,1,3,2034.4342078001453
nzdiydosmf,Generous,5,2,8,8988.070241923962
hxizknszwq,Generous,4,3,4,5923.709758021791
yaoblyqnlo,Geek,6,2,2,3711.757453430669
mhfykvsbji,Miser,7,3,6,8625.027573704774
rawobckjdc,Geek,1,1,8,4737.408072901411
ozmbmlnlpo,Geek,3,1,4,5943.626073350042
xbviingfod,Generous,4,3,9,5236.5354169266175
ufoxrfvbei,Geek,8,2,8,2844.808096826064
lkmtumlbje,Generous,1,3,2,3148.9157628413973
pktiiypgpd,Miser,6,3,7,3362.260849682567
mefmurtbac,Miser,10,3,2,5168.7103129358775
kawoqwwitt,Generous,1,3,8,4407.631204220357
gqohtcvmof,Generous,1,1,9,7726.1890164443585
eezjtcjzaz,Miser,2,1,1,5851.380120792699
zzzovlchxs,Miser,9,2,9,1608.7624060732608
xiwwvapgdx,Generous,4,3,3,7761.198382018197
fifpzedpuf,Geek,6,1,7,8949.040181710947
ctlfskdhai,Geek,1,2,6,8781.496654052746
gxcxpztroz,Generous,7,3,4,4227.533382169654
nzjbiyjqxp,Geek,9,1,6,3087.2242548375907
fbevqepeis,Miser,1,1,1,9038.438714648559
xtobbhensc,Geek,9,2,10,5190.015821049545
pyyblvkeyu,Miser,9,1,2,4750.999095023004
olbtgarfhf,Generous,6,2,9,1336.9592688914404
zclzhopyab,Generous,6,1,7,5821.8536750705425
akewxcdnqo,Geek,3,2,9,300.3359607920344
wdjghhktbj,Geek,3,3,2,6662.999214199185
bobabgwnoj,Geek,1,1,7,4752.444499449502
ylsbivxzwx,Miser,3,3,2,3795.2682346417882
xgdwxmyqjv,Generous,4,2,7,7105.027398199411
cifdffpbwf,Generous,4,2,6,6437.786906185295
nkjmfseezg,Miser,2,3,7,577.288121257141
uzfwjifslr,Geek,3,2,1,431.38606322637065
iudcaqbrbb,Miser,9,2,5,1011.7632807567412
jifosuisgn,Geek,7,3,1,1569.947476007189
gpeszitxdg,Generous,5,2,3,3056.6292071288794
ydbuxhobtz,Generous,8,3,3,6895.234894308264
gpkgzejuqt,Miser,10,3,5,6383.663552858409
hryggwqpqa,Generous,8,1,1,6867.436446692306
tlqkltiniz,Miser,9,3,3,1388.5188800049045
agciujitka,Miser,10,2,8,2796.882642947751
lemtnainsg,Generous,8,2,5,8958.974340952474
qaenuxxkni,Generous,1,1,10,872.9103040207121
zxrgkedceh,Generous,4,1,8,8093.005651267664
mclyrrsxhu,Generous,7,1,3,8090.540590852709
lzolvcvbly,Geek,2,1,1,8822.958269059533
jcvzjbztdi,Generous,1,1,3,7634.210108387339
eamlyxkjov,Generous,3,3,7,1166.323441907942
wuzfeexwlg,Geek,5,1,3,4998.411074510994
avemmlenru,Geek,4,3,10,6759.101067860292
wmomjshubo,Miser,10,1,4,6356.946519088396
dycsxeqyxg,Geek,7,3,7,1060.0019555952008
nwpnpqugiy,Geek,3,1,7,8380.35906968453
jzsnbozkkz,Miser,2,2,2,3293.015485544103
ehptqytfkb,Generous,2,2,2,2029.4943184298463
